celltype.l1,celltype.l2,UMAP1,UMAP2
Mono/DC,CD14 Mono,6.929036285,5.815622524
Mono/DC,CD14 Mono,5.287013675,4.825591758
T cell,CD8 Effector_1,-4.276275013,-3.667567059
Progenitor cells,Prog_Mk,6.203491832,-5.226191804
Mono/DC,CD14 Mono,5.706699039,5.164659694
T cell,CD8 Memory_2,-2.577429388,-2.645900056
T cell,CD8 Naive,-7.325673436,-5.060274884
NK,NK,1.220266248,-3.56585817
T cell,CD8 Effector_1,-3.629413699,-3.74152331
T cell,CD4 Naive,-8.449725483,5.667507365
T cell,Treg,-5.283813332,5.169776157
Mono/DC,CD14 Mono,6.363021995,3.31604977
T cell,CD4 Naive,-6.778986786,1.999768451
T cell,CD8 Effector_1,-3.527698372,-2.986816212
T cell,CD4 Naive,-9.032729481,5.845714763
Mono/DC,CD14 Mono,6.50297847,4.51864405
Progenitor cells,Prog_DC,6.787439014,-0.554500878
B cell,Naive B,3.057770635,-11.37493686
Mono/DC,CD14 Mono,7.31438985,5.049426273
T cell,Treg,-4.81228957,7.093512252
Progenitor cells,HSC,6.703967239,-2.166572735
T cell,CD8 Naive,-7.927204941,-4.516419217
B cell,Memory B,2.583481695,-11.2314928
B cell,Memory B,1.726058866,-10.91097908
Progenitor cells,Prog_RBC,6.024093296,-4.897626206
NK,NK,1.072734262,-4.17719464
T cell,CD4 Naive,-7.349694584,1.623941496
B cell,Memory B,2.477074529,-11.35826282
T cell,CD4 Naive,-7.640043591,4.615627483
Mono/DC,CD14 Mono,6.288249637,2.358554796
B cell,Plasmablast,2.442914869,-9.890825078
T cell,CD4 Naive,-6.549421643,4.600501254
T cell,CD4 Naive,-9.164016102,5.959543899
T cell,CD8 Memory_1,-4.785385464,-2.282843038
Mono/DC,CD14 Mono,5.674183513,5.147269443
T cell,CD4 Naive,-7.653829907,5.709910587
T cell,CD4 Naive,-4.733197068,3.032335714
T cell,CD4 Naive,-6.927697991,6.031919673
T cell,MAIT,-4.685024117,-0.519427687
Mono/DC,CD14 Mono,7.476649906,5.973785117
B cell,Naive B,2.373513843,-11.74808578
Mono/DC,CD14 Mono,8.206928875,5.883913234
T cell,CD8 Memory_1,-3.673433398,-1.386690661
Mono/DC,CD14 Mono,7.305454876,5.768055633
T cell,CD8 Naive,-7.110017632,-5.470178887
T cell,CD4 Naive,-7.3170341,5.739840225
T cell,CD4 Naive,-8.437875126,5.339496806
T cell,CD4 Naive,-7.028471802,5.374637798
T cell,CD4 Memory,-2.082382058,5.567561343
NK,NK,1.135769154,-3.965546891
T cell,CD4 Naive,-7.646853779,5.661264613
Progenitor cells,Prog_B 2,2.57003894,-10.04381351
Mono/DC,CD14 Mono,1.91474631,3.657114223
T cell,MAIT,-4.118820999,-0.475054905
Mono/DC,cDC2,3.862696792,1.454742506
Mono/DC,CD14 Mono,7.663074161,6.132525638
Mono/DC,CD14 Mono,5.813529159,5.409526065
T cell,CD8 Naive,-7.468985413,-4.665509507
B cell,Naive B,3.129043008,-11.08062439
Progenitor cells,LMPP,6.581799652,-0.743084028
Mono/DC,CD14 Mono,7.141715194,6.280713752
Progenitor cells,HSC,6.391346122,-2.676116749
NK,NK,1.971969988,-4.808658406
T cell,MAIT,-4.350661133,-0.750292763
Mono/DC,CD14 Mono,6.858472015,4.325827792
T cell,CD4 Memory,-3.275186156,6.370608047
T cell,CD8 Naive,-7.33549485,-4.72275953
Mono/DC,CD14 Mono,8.627534534,4.622893527
Progenitor cells,Prog_RBC,7.697932388,4.496354774
Mono/DC,CD14 Mono,5.917955066,5.005560115
T cell,CD8 Naive,-6.398420666,-4.72896032
T cell,gdT,-3.213795517,-0.970253095
Mono/DC,pDC,6.804053451,0.194171801
T cell,CD8 Naive,-6.509840344,-4.856874749
T cell,CD4 Memory,-4.160579537,6.7664444
T cell,CD4 Naive,-6.134836529,5.05953522
T cell,CD8 Naive,-8.307783459,-4.403396413
Mono/DC,CD14 Mono,5.478944923,2.694339946
B cell,Memory B,2.029753234,-12.29589443
T cell,CD8 Naive,-6.227726792,-4.1862102
Mono/DC,cDC2,8.027224209,3.115584329
Mono/DC,CD14 Mono,6.317340519,3.143197969
T cell,CD8 Naive,-8.004380558,-3.690076157
T cell,CD4 Memory,-1.734450672,6.15947552
T cell,CD4 Memory,-3.266114329,6.218951896
T cell,CD4 Memory,-2.556602572,4.946732238
Mono/DC,CD14 Mono,7.566505577,6.26863499
Mono/DC,CD14 Mono,6.020875122,4.52042456
Mono/DC,CD14 Mono,7.157951976,6.680748657
T cell,CD4 Memory,-2.434926842,6.462946609
Mono/DC,CD14 Mono,7.016382362,3.048068717
T cell,CD8 Naive,-6.716377591,-3.728891417
T cell,CD8 Naive,-7.724538182,-3.565512702
B cell,Memory B,1.597323562,-12.13535099
Progenitor cells,HSC,6.572345878,-2.875173852
T cell,gdT,-2.887277935,-1.624012038
T cell,CD8 Naive,-6.790113781,-3.421141431
Progenitor cells,GMP,6.080267097,1.956687644
B cell,Memory B,2.011701132,-10.64570217
Mono/DC,CD14 Mono,6.547901298,3.672339156
T cell,CD4 Memory,-6.206939553,6.239264682
NK,NK,1.94670179,-5.769496724
T cell,CD8 Naive,-7.877234791,-4.6765645
T cell,CD4 Naive,-7.395278786,5.910399631
B cell,Naive B,4.033745195,-10.78261261
B cell,Memory B,2.974904682,-10.67242698
Mono/DC,CD16 Mono,8.01022401,1.454562023
Mono/DC,CD14 Mono,5.831597473,6.051324085
T cell,Treg,-6.695062493,6.327900604
Mono/DC,CD14 Mono,6.35423484,4.748862937
Mono/DC,CD14 Mono,6.399900104,4.424519733
T cell,CD4 Naive,-8.193319653,6.272257045
T cell,CD8 Naive,-7.174557064,-3.592726037
T cell,CD4 Memory,-2.431440209,6.966052249
B cell,Memory B,2.05534568,-9.181023404
T cell,CD8 Effector_2,-4.237489556,-3.521206423
B cell,Memory B,2.098822738,-11.28656082
Mono/DC,CD14 Mono,7.968327667,5.660456851
T cell,gdT,-2.824973439,-2.357830807
Mono/DC,CD14 Mono,6.751603748,4.740617946
T cell,CD4 Naive,-7.881023739,5.539050773
Progenitor cells,LMPP,6.094051506,-1.710578605
Mono/DC,CD14 Mono,5.344217922,3.477040246
T cell,CD8 Naive,-1.626577471,-1.203020915
B cell,Plasmablast,2.658631231,-9.440435216
NK,CD56 bright NK,2.08778515,-5.5535243
T cell,CD4 Memory,-2.042264555,5.94486399
T cell,CD4 Naive,-4.897477959,6.370454982
Mono/DC,CD14 Mono,6.717878963,2.119152501
T cell,CD8 Memory_1,-6.473173474,-5.9800127
B cell,Memory B,2.808773424,-11.39872245
Mono/DC,CD14 Mono,5.955895092,4.783639625
Mono/DC,CD14 Mono,7.837124969,4.080372051
Mono/DC,cDC2,6.664450313,2.421391919
Progenitor cells,LMPP,6.982694294,-2.755240247
B cell,Memory B,1.965632345,-10.68761329
T cell,CD4 Memory,-1.711803768,6.18567057
T cell,CD4 Naive,-6.452652787,4.685902313
T cell,CD4 Naive,-7.05309615,5.475999549
T cell,CD4 Memory,-4.295697544,6.239929393
Mono/DC,CD14 Mono,7.827397014,3.652940944
T cell,CD4 Memory,-2.007391308,6.887857154
Progenitor cells,GMP,6.177949573,1.254369214
T cell,CD8 Naive,-6.991494511,-3.644651219
Progenitor cells,Prog_RBC,5.949773456,-5.528689667
T cell,CD8 Effector_2,-3.831440304,-3.575464293
Mono/DC,CD14 Mono,5.373119022,4.153122142
B cell,Plasmablast,2.911451723,-9.525665089
Mono/DC,CD14 Mono,6.412823345,4.444508746
T cell,CD4 Naive,-7.582294796,6.083104327
T cell,CD8 Naive,-7.313433979,-3.628762051
T cell,CD8 Memory_1,-4.836157654,-2.67652826
Mono/DC,CD14 Mono,5.610269691,4.295707896
Mono/DC,CD14 Mono,6.298872139,6.093834594
T cell,CD4 Naive,-7.695194577,6.636589721
T cell,CD4 Memory,-1.888789748,6.623620227
T cell,CD8 Memory_2,-2.568746422,-2.730439707
T cell,CD4 Naive,-7.348103379,6.762960151
T cell,CD4 Memory,-1.877591108,6.264342979
Progenitor cells,HSC,6.618519928,-3.337170884
Mono/DC,CD14 Mono,5.445125724,4.846652225
T cell,CD4 Naive,-8.780094479,4.877399638
T cell,CD4 Naive,-4.468788479,3.331212238
B cell,Naive B,3.475925113,-12.00542335
T cell,MAIT,-3.588651512,-0.136974916
Progenitor cells,HSC,6.530349876,-2.701188847
T cell,CD4 Naive,-7.629258011,6.346861079
Progenitor cells,Prog_B 2,2.204322244,-9.983715817
T cell,CD8 Naive,-6.542931412,-3.382344767
T cell,CD8 Naive,-6.364949082,-3.765635773
T cell,CD8 Effector_1,-3.004671906,-3.570554063
T cell,CD4 Memory,-3.810563658,6.927130416
T cell,CD8 Naive,-7.535361145,-5.334131524
NK,NK,1.28307655,-4.247593924
T cell,CD8 Naive,-8.089182232,-4.32254295
T cell,CD4 Memory,-2.68863282,5.44068642
T cell,CD8 Naive,-6.477605675,-4.354861066
T cell,CD8 Naive,-7.486567829,-3.463957831
Mono/DC,CD14 Mono,7.45118108,3.72843428
T cell,CD8 Memory_2,-2.793177222,-2.582462832
Mono/DC,CD14 Mono,7.904870178,4.468269542
T cell,CD4 Naive,-6.545848225,5.300967887
Mono/DC,CD14 Mono,3.90658703,1.548649147
T cell,CD4 Naive,-7.311433171,4.973903373
B cell,Memory B,1.7665154,-12.02350979
T cell,gdT,-3.512517308,-0.089076176
T cell,CD4 Memory,-2.778405045,6.703651145
T cell,CD4 Naive,-8.105947827,5.962771133
B cell,Naive B,3.411583568,-11.27327709
B cell,Naive B,2.826724197,-10.53195171
T cell,CD4 Memory,-2.824614619,6.683679298
T cell,MAIT,-3.945191954,-0.882765874
T cell,CD8 Naive,-7.398484085,-3.761627003
T cell,CD4 Memory,-3.348456715,3.782773212
B cell,Memory B,2.692705537,-10.46065502
T cell,CD4 Naive,-5.370055531,4.234816268
Mono/DC,CD14 Mono,7.628528263,6.302094653
NK,NK,1.276470329,-4.863629624
Mono/DC,CD14 Mono,6.810933258,6.557396606
T cell,CD4 Naive,-8.366028164,5.166788772
B cell,Memory B,2.627240087,-12.32272701
Mono/DC,CD14 Mono,5.907027866,3.365372136
Mono/DC,CD14 Mono,6.724896099,4.143984512
Mono/DC,CD14 Mono,5.45619836,5.886634544
Mono/DC,CD14 Mono,7.519187118,5.605794147
Mono/DC,CD14 Mono,6.151836063,3.208197072
Mono/DC,CD14 Mono,7.624571945,3.362054065
Progenitor cells,Prog_RBC,6.751886036,-3.745881364
T cell,CD4 Naive,-6.47599635,4.461067394
T cell,CD4 Naive,-4.761191223,3.015304044
Mono/DC,CD14 Mono,7.24840131,6.248651698
T cell,CD8 Memory_1,-5.214724873,-4.150569722
T cell,CD8 Naive,-6.794535969,-4.603731915
Progenitor cells,Prog_B 1,3.360772039,-10.52435856
T cell,CD4 Naive,-7.341405724,1.682303146
T cell,CD4 Naive,-8.432900761,6.768817142
Mono/DC,CD14 Mono,7.756973411,4.250078872
T cell,CD8 Naive,-6.385908459,-4.79936485
Progenitor cells,Prog_B 2,2.185282852,-9.851403996
T cell,CD8 Naive,-6.352398728,-3.646656319
B cell,Memory B,1.444940235,-12.02075939
Mono/DC,CD14 Mono,7.852028038,4.056787208
B cell,Naive B,3.208342458,-12.07204132
T cell,CD4 Memory,-3.889908169,7.219519809
T cell,CD8 Naive,-7.345593308,-4.499627396
Mono/DC,cDC2,5.176777507,0.796329692
T cell,CD8 Naive,-5.853509281,-4.245429322
T cell,CD4 Naive,-7.869713162,6.897752956
T cell,gdT,-3.800303076,-1.097637519
T cell,CD8 Naive,-7.104137753,-5.359497353
T cell,CD4 Naive,-7.611227368,5.228553012
T cell,CD4 Memory,-4.842559193,7.16623421
NK,NK,1.404729869,-4.755083844
T cell,CD8 Memory_2,-2.240468596,-1.697345301
T cell,CD8 Naive,-6.696113919,-4.311392829
Mono/DC,CD14 Mono,6.447394039,3.463188365
T cell,CD4 Naive,-4.06327853,5.664545253
B cell,Naive B,4.279700424,-11.19803505
T cell,CD4 Naive,-6.246626709,5.268137649
T cell,CD4 Memory,-3.889437531,7.126446918
Mono/DC,CD14 Mono,6.869342949,4.086240009
T cell,CD8 Naive,-7.032269333,-3.617606684
Mono/DC,cDC2,6.194543029,1.943738416
T cell,CD4 Naive,-6.693452214,5.822469905
B cell,Naive B,2.384161379,-11.68445472
Mono/DC,CD14 Mono,7.254383232,5.089009956
T cell,CD8 Memory_2,-3.960767601,-1.72988598
Mono/DC,CD14 Mono,8.13300481,3.122592643
B cell,Memory B,3.194388534,-12.79256897
B cell,Memory B,1.475996639,-11.86181717
T cell,CD8 Naive,-4.146222447,-4.915998742
Progenitor cells,LMPP,6.743157531,-2.007861063
Mono/DC,CD14 Mono,5.203363086,5.558632568
T cell,CD8 Naive,-1.529700731,-1.178472385
Mono/DC,CD14 Mono,7.57673135,4.402353004
T cell,CD8 Naive,-6.190759514,-4.474192902
Mono/DC,CD14 Mono,7.306474353,6.235801891
T cell,CD4 Memory,-1.938629959,6.075597957
Mono/DC,CD14 Mono,6.232927944,4.908262447
T cell,CD4 Memory,-4.531154488,6.517100051
T cell,CD8 Naive,-6.604461525,-4.767165467
Mono/DC,CD14 Mono,5.069099094,5.131241992
T cell,CD4 Naive,-4.744874333,3.190679029
T cell,CD4 Naive,-6.807337616,4.143627361
T cell,CD4 Naive,-8.580615376,6.585877136
T cell,CD8 Naive,-7.562292431,-3.706432626
Mono/DC,CD14 Mono,5.789359237,5.501569942
B cell,Naive B,1.957342173,-8.874851033
Mono/DC,CD14 Mono,8.55908456,5.262913421
T cell,CD4 Memory,-3.333405588,3.521418765
B cell,Plasmablast,3.244885828,-9.188870236
T cell,CD8 Naive,-6.603423451,-2.87395601
T cell,CD4 Naive,-7.92399535,6.756597236
Mono/DC,CD14 Mono,6.074544098,3.577442601
Progenitor cells,GMP,6.923078682,2.798620179
Mono/DC,CD14 Mono,6.251732017,3.588231519
Mono/DC,CD14 Mono,7.680055286,5.717543796
Mono/DC,CD14 Mono,6.694159652,4.906160548
Mono/DC,CD14 Mono,4.938172962,3.589213088
Progenitor cells,Prog_B 1,3.794697191,-10.16788845
T cell,CD4 Naive,-6.703893517,5.322686389
T cell,CD4 Naive,-8.926924084,5.898322299
T cell,CD4 Naive,-8.721573208,6.366898731
Mono/DC,CD14 Mono,6.159437324,5.346351341
B cell,Naive B,4.533158924,-11.14755802
T cell,CD4 Naive,-6.902130459,6.124142841
NK,CD56 bright NK,2.004738952,-5.619757458
B cell,Naive B,4.014042045,-12.59842472
T cell,CD8 Naive,-7.68313012,-4.466830537
Mono/DC,CD14 Mono,6.841053154,5.870934203
Mono/DC,CD14 Mono,5.770158912,3.309685186
T cell,CD8 Naive,-7.595630978,-4.523534104
Mono/DC,CD14 Mono,8.031310703,5.216338352
T cell,CD8 Effector_2,-4.180841778,-3.105206057
Mono/DC,CD14 Mono,5.539187576,4.76876612
T cell,CD4 Naive,-8.116590832,5.717037872
Mono/DC,CD14 Mono,3.770620729,1.214216069
Mono/DC,CD14 Mono,6.126202728,2.885582164
Mono/DC,cDC2,5.849816944,2.454523042
Mono/DC,CD14 Mono,6.864045288,4.444087699
T cell,CD8 Effector_1,-2.555425738,-3.64819698
T cell,gdT,-2.436189745,-2.283371851
T cell,CD8 Naive,-6.785939549,-6.437612817
Progenitor cells,Prog_RBC,6.791302349,-4.180409953
T cell,CD4 Memory,-4.037610863,5.813453391
T cell,CD8 Naive,-5.938679551,-4.685724541
T cell,CD4 Naive,-8.158907269,6.112384513
T cell,CD8 Naive,-6.884820793,-3.885747477
Mono/DC,CD14 Mono,6.86977544,3.777607635
B cell,Memory B,1.754035975,-10.55774383
T cell,CD8 Naive,-6.878906582,-3.64191775
T cell,CD8 Memory_1,-4.624039505,-2.145042106
T cell,CD4 Naive,-5.940729473,6.060026363
NK,NK,1.642961647,-4.587368294
T cell,CD4 Memory,-4.529425953,6.232819274
Progenitor cells,GMP,6.91117015,1.492379382
Mono/DC,CD14 Mono,5.267561103,3.419796661
Progenitor cells,LMPP,6.370140697,-1.644402429
Mono/DC,CD16 Mono,8.426418926,0.892054513
T cell,CD8 Naive,-1.421445702,-1.630777761
T cell,CD4 Memory,-1.872619007,6.368817046
T cell,CD4 Memory,-4.286564205,6.436701492
T cell,CD4 Naive,-6.724486683,5.72252579
B cell,Memory B,0.263533186,-10.33839969
NK,NK,1.06630459,-5.14446859
T cell,MAIT,-4.375379418,-0.678859398
Mono/DC,CD14 Mono,5.245166923,5.613178447
T cell,Treg,-4.921670292,6.751710609
T cell,CD4 Memory,-1.707126473,5.850800231
Mono/DC,CD14 Mono,6.201180126,5.024385646
T cell,CD4 Memory,-2.939504956,4.807937339
Mono/DC,CD14 Mono,5.121293213,4.503014282
Mono/DC,pDC,7.388564254,0.633881942
Progenitor cells,GMP,7.438453342,1.059454397
T cell,CD8 Naive,-6.794642781,-4.474086568
T cell,CD8 Naive,-8.053863858,-4.600047871
T cell,CD8 Naive,-7.140902851,-3.160506531
T cell,CD4 Memory,-3.247999047,6.759752467
Mono/DC,CD14 Mono,6.398387577,5.349460796
T cell,CD4 Naive,-7.345750664,1.730811313
T cell,CD4 Memory,-1.92205653,6.774211124
T cell,CD4 Memory,-2.703735684,7.194914058
T cell,CD4 Naive,-7.762461995,5.175745204
Mono/DC,CD14 Mono,4.926776077,5.364700034
T cell,CD4 Naive,-6.588848923,5.479103759
T cell,CD4 Memory,-3.423406218,3.71376963
Mono/DC,CD16 Mono,8.294947292,2.051319793
T cell,MAIT,-2.672196005,-1.149403021
B cell,Memory B,1.397317793,-11.2154253
T cell,CD4 Memory,-4.205987786,6.983891681
Mono/DC,CD14 Mono,8.070965435,5.132893279
Progenitor cells,GMP,5.246219303,3.946614936
Progenitor cells,Prog_RBC,5.587345268,-5.451453015
T cell,CD8 Naive,-7.598612641,-5.686057851
T cell,CD4 Memory,-3.99613509,5.679626182
Mono/DC,CD14 Mono,7.507233287,6.600751117
B cell,Naive B,2.899778749,-10.24888115
T cell,MAIT,-4.239167069,-0.44720383
Mono/DC,CD14 Mono,6.446759369,4.352264121
T cell,CD4 Naive,-7.815066193,6.433452323
Mono/DC,pDC,7.119323875,0.929607824
T cell,CD8 Effector_1,-2.633542631,-3.750241324
T cell,MAIT,-4.246867512,-0.438236795
T cell,CD4 Naive,-7.672643994,5.446139053
T cell,CD4 Naive,-7.972736691,6.779866889
Mono/DC,pDC,6.890258934,0.338797346
T cell,CD8 Naive,-5.943491791,-4.120767161
Mono/DC,CD14 Mono,7.047637607,5.261884883
B cell,Naive B,4.226108696,-12.58263759
T cell,CD8 Naive,-6.766916607,-5.008108422
Progenitor cells,Prog_DC,6.879085209,1.503703907
T cell,gdT,-3.975829457,-0.649885401
Mono/DC,CD14 Mono,6.965371277,6.712002948
T cell,CD8 Naive,-1.418290828,-1.636588856
Progenitor cells,Prog_DC,7.650907661,0.80681105
T cell,CD4 Naive,-8.448401783,4.410984233
Mono/DC,CD14 Mono,6.089359905,4.676565841
T cell,CD8 Naive,-6.899046753,-3.412712857
Progenitor cells,LMPP,6.445514824,-2.176801488
T cell,CD8 Naive,-6.767163132,-4.331017062
Mono/DC,CD14 Mono,4.952412273,4.924149707
T cell,CD8 Naive,-6.870363091,-4.513923451
T cell,CD4 Memory,-1.841039394,6.863151267
T cell,CD4 Naive,-8.064187382,5.795556739
Mono/DC,CD14 Mono,7.32980075,5.811340526
T cell,CD4 Memory,-2.289680813,6.223217204
Progenitor cells,GMP,6.762571003,-1.544687912
B cell,Memory B,1.314403321,-11.64224891
T cell,CD8 Memory_1,-4.287153099,-4.928006932
T cell,CD4 Memory,-2.155383681,5.393184379
T cell,Treg,-6.527479981,5.443057254
Mono/DC,pDC,7.568522598,0.372027174
T cell,CD4 Memory,-3.947433089,6.348333076
T cell,CD8 Naive,-6.892783974,-4.639780328
B cell,Memory B,1.829339291,-12.42423229
T cell,CD8 Effector_2,-3.789142464,-2.957318112
T cell,Treg,-4.125513409,-0.854114905
Mono/DC,CD16 Mono,8.181355144,1.808153108
NK,NK,1.682847287,-4.252218291
T cell,CD4 Memory,-3.695207451,6.911278919
Progenitor cells,Prog_RBC,6.725526477,-3.961035535
B cell,Memory B,1.954244758,-11.91834335
T cell,CD4 Naive,-8.741559361,4.873699382
B cell,Memory B,1.827113058,-11.19930153
T cell,CD8 Effector_1,-2.608432387,-3.63912563
B cell,Memory B,1.55090716,-11.34315948
NK,CD56 bright NK,2.631909038,-5.33295612
T cell,CD8 Naive,-7.333436344,-4.396419331
T cell,CD8 Naive,-6.789432381,-4.366896435
Progenitor cells,LMPP,6.576794292,-2.803278968
Mono/DC,CD14 Mono,6.177713539,4.036224082
Progenitor cells,Prog_RBC,6.337652351,-3.3880568
Mono/DC,CD14 Mono,5.995749141,3.982073501
Mono/DC,CD14 Mono,6.035838749,6.269280151
T cell,CD4 Naive,-8.6780313,5.146637157
Mono/DC,CD14 Mono,6.422770168,5.919172004
T cell,CD4 Memory,-3.360386942,6.672862247
T cell,CD4 Memory,-3.192562912,4.014089301
T cell,CD4 Memory,-4.96960244,5.552451804
T cell,CD4 Naive,-8.3646358,5.857994273
B cell,Memory B,1.788805987,-10.9928339
T cell,MAIT,-4.452857827,-0.782940164
T cell,CD8 Naive,-7.619381283,-5.519565388
T cell,CD8 Memory_2,-2.128651713,-3.127189204
Mono/DC,CD14 Mono,6.072199489,4.789673522
T cell,CD4 Naive,-6.887477253,6.463845924
Mono/DC,CD14 Mono,6.066167976,5.014213279
Progenitor cells,GMP,6.456648494,4.959840492
T cell,CD4 Naive,-8.742845867,6.197975829
Progenitor cells,GMP,4.096591617,0.961706117
T cell,CD4 Naive,-7.408643578,5.225329593
T cell,CD4 Naive,-6.907540177,5.658581451
Mono/DC,CD14 Mono,4.022423412,1.24396725
T cell,CD4 Naive,-7.092225884,5.793096259
T cell,CD8 Naive,-6.767410611,-3.820565984
Progenitor cells,GMP,5.986783172,4.089690402
T cell,CD4 Memory,-4.007625435,6.145278171
Progenitor cells,Prog_Mk,5.929628994,-5.240176484
Progenitor cells,Prog_RBC,6.748734619,-3.792827412
T cell,CD8 Effector_2,-4.711644505,-4.227509305
NK,NK,1.218838717,-3.604511544
T cell,CD8 Naive,-7.87481675,-5.495522782
T cell,CD4 Naive,-6.981786583,5.288597778
T cell,CD4 Memory,-2.755594109,7.39199324
Mono/DC,CD14 Mono,5.63778844,3.779338554
B cell,Memory B,2.558578159,-12.22424488
Mono/DC,CD14 Mono,8.911059047,6.08964701
Progenitor cells,GMP,7.417413379,1.939784244
T cell,CD4 Memory,-2.286122893,6.627302364
Mono/DC,CD14 Mono,6.770105983,2.606293872
T cell,CD8 Naive,-7.210692738,-5.214177891
T cell,CD8 Effector_1,-5.005490635,-3.275487229
T cell,CD8 Naive,-8.20563731,-5.020455643
T cell,CD4 Memory,-2.375334118,5.678942397
Mono/DC,CD14 Mono,5.350258495,5.36010094
T cell,CD8 Naive,-6.443369721,-5.827122018
NK,NK,1.199851777,-5.059345051
T cell,CD8 Naive,-4.4547976,-4.775059983
B cell,Memory B,2.781045343,-12.58827095
T cell,CD8 Naive,-6.092489575,-4.117147729
T cell,CD8 Naive,-7.362244938,-4.261716172
B cell,Memory B,2.46454754,-12.5186594
T cell,CD4 Memory,-1.873613571,6.608006671
B cell,Naive B,1.876312639,-8.706637189
Mono/DC,CD14 Mono,6.754540588,3.143094257
Progenitor cells,Prog_RBC,5.679057266,-5.318874165
Progenitor cells,Prog_DC,6.512089397,-0.721402928
Mono/DC,CD16 Mono,8.870087291,1.139924243
Mono/DC,CD14 Mono,6.598638202,1.946588472
T cell,CD8 Effector_2,-4.594224308,-3.478865191
Mono/DC,CD14 Mono,7.67470565,5.68367596
T cell,CD8 Effector_2,-3.970233773,-3.066215083
Mono/DC,cDC2,6.329470302,3.507188514
B cell,Memory B,1.820986296,-11.18993549
T cell,MAIT,-4.120470856,-0.572292745
Mono/DC,cDC2,6.201214458,3.419423774
B cell,Naive B,2.91890278,-10.98361568
NK,CD56 bright NK,3.273042585,-5.327313706
Mono/DC,CD14 Mono,7.091434623,3.157381252
T cell,CD4 Naive,-8.258028363,5.408590511
T cell,CD8 Naive,-8.065856312,-4.222297475
T cell,CD4 Naive,-7.268044327,5.481313899
B cell,Memory B,1.723837401,-11.78061561
B cell,Plasmablast,3.526333238,-9.122527882
T cell,CD8 Memory_1,-5.13000903,-2.984352872
Mono/DC,CD14 Mono,5.408566143,4.906675533
T cell,CD8 Naive,-5.801466797,-3.659268424
Progenitor cells,Prog_RBC,3.008205797,-0.483004793
T cell,CD8 Naive,-4.229406689,-5.019892499
Progenitor cells,Prog_RBC,6.3686749,-3.633001849
T cell,CD4 Naive,-6.276624535,5.305551723
T cell,CD4 Naive,-7.782518242,6.476340011
Mono/DC,CD14 Mono,6.847198631,4.113945678
B cell,Naive B,2.538832571,-11.05511837
Mono/DC,pDC,6.764494087,0.450717822
T cell,CD4 Naive,-8.38318095,4.963405803
Mono/DC,CD14 Mono,7.97701707,3.477099374
T cell,CD8 Naive,-7.417528008,-4.153223798
B cell,Memory B,1.926260497,-10.97432594
Mono/DC,CD14 Mono,4.759026672,4.858488754
T cell,CD4 Memory,-2.621173714,6.982430652
T cell,CD8 Naive,-6.079445694,-5.479844376
T cell,CD4 Memory,-5.023930882,7.134363368
T cell,CD4 Memory,-3.929870938,7.294596866
T cell,CD4 Memory,-1.642507647,5.949001029
NK,NK,0.818880405,-3.530115411
T cell,CD8 Memory_2,-2.282374476,-2.598908946
T cell,CD4 Naive,-4.497344826,3.11526008
T cell,CD8 Effector_1,-2.742930029,-1.832122013
Mono/DC,CD14 Mono,5.973625805,5.997250274
Progenitor cells,GMP,6.764065887,-0.558192357
Mono/DC,CD14 Mono,4.982093479,0.864008501
T cell,CD4 Naive,-5.75128207,5.406697467
T cell,CD8 Naive,-6.796550129,-4.333899066
Mono/DC,CD14 Mono,8.254615451,4.465876773
T cell,CD8 Memory_1,-4.840403889,-2.787699744
T cell,CD8 Memory_1,-3.55842862,-2.634457633
T cell,CD4 Naive,-4.623403405,3.176496938
Mono/DC,CD14 Mono,7.887406017,4.809909061
T cell,CD8 Naive,-7.065749977,-5.714885995
T cell,CD4 Naive,-6.87801442,4.265727714
T cell,CD8 Naive,-7.279067849,-5.284831807
Progenitor cells,GMP,6.830473568,1.403967932
Mono/DC,CD16 Mono,8.926172878,1.029897526
T cell,CD4 Naive,-7.473323201,5.217733577
Progenitor cells,Prog_RBC,6.333683635,-5.247937009
T cell,CD4 Naive,-8.192915295,4.91988726
T cell,CD4 Naive,-7.25688443,1.519294694
B cell,Naive B,3.528093006,-11.10910968
T cell,Treg,-3.79097638,7.393582061
T cell,CD4 Naive,-7.450946186,5.909837917
Mono/DC,CD14 Mono,8.085325863,4.673860744
B cell,Naive B,3.316938306,-11.24523811
Mono/DC,CD14 Mono,7.99142852,5.239060596
Mono/DC,CD14 Mono,6.21577325,5.941281036
B cell,Naive B,3.15699711,-10.87971191
T cell,CD4 Memory,-2.257637833,5.726902202
Progenitor cells,Prog_RBC,6.715114261,-3.749805972
B cell,Naive B,3.306201841,-11.65708236
B cell,Memory B,1.859685923,-12.42190532
T cell,CD4 Naive,-8.342432354,5.120269969
T cell,CD8 Naive,-7.37156329,-6.222163007
Progenitor cells,Prog_RBC,6.71745124,-3.030741498
Progenitor cells,GMP,5.427764084,3.353860334
Mono/DC,CD14 Mono,6.213462497,6.550176814
Mono/DC,cDC2,5.904229309,3.000504688
T cell,CD4 Memory,-2.187249754,5.820463374
T cell,CD4 Naive,-7.430589531,7.377044872
Mono/DC,CD14 Mono,4.888501789,0.632411614
Mono/DC,CD14 Mono,6.641780521,3.769720748
Mono/DC,CD14 Mono,6.978324081,3.996862129
