celltype.l1,celltype.l2,UMAP1,UMAP2
T cell,CD8 Naive,3.181078102,4.890175553
T cell,CD4 Naive,2.81809416,1.88525662
T cell,CD4 Memory,7.048620846,1.159754844
Mono/DC,CD14 Mono,-10.06040034,5.160638066
Mono/DC,CD14 Mono,-6.995692585,3.696458073
T cell,CD4 Memory,3.748125937,1.145631405
T cell,CD8 Naive,3.717192557,6.959174844
Mono/DC,CD14 Mono,-6.851006363,3.193389149
T cell,CD4 Memory,7.615812924,0.078705639
B cell,Memory B,1.334612276,-11.40004566
B cell,Memory B,1.604776408,-11.381408
T cell,CD8 Naive,1.987882879,2.679381104
Mono/DC,CD14 Mono,-9.308180187,4.74557087
T cell,gdT,6.441024449,-1.891629724
T cell,MAIT,7.217927124,-1.902376441
T cell,CD8 Effector_1,5.823886063,-3.356957463
T cell,CD4 Naive,4.36395755,3.203800889
Mono/DC,CD14 Mono,-9.800898884,2.579245539
T cell,CD4 Memory,5.62351146,1.568064423
T cell,CD4 Naive,4.616580631,2.379991265
Progenitor cells,Prog_B 2,-5.724124763,-8.285933761
Mono/DC,CD14 Mono,-8.979487751,4.429812642
Mono/DC,CD14 Mono,-8.90173373,2.140488597
NK,NK,7.331732418,-5.623228339
T cell,CD8 Naive,2.274624016,3.439285489
T cell,CD4 Memory,3.209402706,2.471349688
T cell,CD8 Naive,2.870012667,6.458751889
Progenitor cells,LMPP,-7.071523044,-4.505934028
Mono/DC,CD14 Mono,-8.967899654,4.645368787
Mono/DC,CD14 Mono,-6.247060154,3.484876128
Progenitor cells,HSC,-6.078151558,-5.773706702
T cell,CD8 Naive,2.906950619,5.57034752
T cell,CD8 Memory_1,7.195132401,-0.24364048
T cell,CD4 Memory,7.070549633,2.071971627
Progenitor cells,GMP,-7.423321102,-0.301458297
T cell,CD8 Effector_1,5.934197571,-3.70958188
Progenitor cells,LMPP,-6.721442077,-5.343030242
T cell,CD4 Naive,3.539826538,3.559668513
Mono/DC,CD14 Mono,-9.038764332,6.132159921
T cell,CD8 Naive,2.272080924,2.584244462
Progenitor cells,Prog_RBC,-2.621201132,-1.443813709
Mono/DC,CD14 Mono,-7.755541179,4.206055375
Mono/DC,CD14 Mono,-6.861393783,3.470024319
B cell,Memory B,0.333853334,-12.44960621
NK,NK,8.34641042,-5.93391159
T cell,CD8 Effector_1,6.064258244,-3.291139631
Mono/DC,CD14 Mono,-10.2544311,5.913069459
T cell,gdT,7.680297043,-3.120316295
T cell,CD4 Naive,4.61391845,2.778884383
Mono/DC,CD14 Mono,-9.259222362,2.913693639
Mono/DC,CD14 Mono,-8.918429706,4.02589223
T cell,CD8 Naive,2.426980641,4.403612347
T cell,CD8 Naive,4.227629568,7.49424574
Mono/DC,CD14 Mono,-9.053655956,5.97021124
T cell,CD4 Naive,5.900622513,3.760582658
NK,NK,8.57159486,-5.276824741
T cell,MAIT,7.446402695,-1.879126934
Mono/DC,CD14 Mono,-8.582916591,1.89952788
B cell,Naive B,-0.119494442,-10.78328255
Progenitor cells,Prog_RBC,-2.228710268,-1.742944149
B cell,Plasmablast,-3.277094457,-6.227928905
T cell,gdT,7.520767357,-2.775105504
Progenitor cells,Prog_RBC,-4.584219787,-4.086361198
B cell,Naive B,-1.144343827,-12.09950188
T cell,CD4 Memory,5.487234261,0.759173187
Mono/DC,CD14 Mono,-7.086051796,5.175813409
T cell,CD4 Memory,7.057908203,0.105372897
T cell,CD8 Naive,4.313582566,5.99125311
Progenitor cells,GMP,-7.717338417,-0.666409163
B cell,Plasmablast,-2.661823604,-6.441147117
T cell,CD8 Naive,2.355270054,2.51849577
Progenitor cells,Prog_Mk,-6.017652366,-4.455153732
T cell,CD8 Effector_1,6.40478101,-1.257735757
NK,NK,8.021899845,-5.46694353
Mono/DC,CD14 Mono,-8.450840328,1.228625389
T cell,CD4 Naive,4.902601387,3.408174964
T cell,CD4 Naive,5.531911518,4.683857175
T cell,CD8 Memory_1,7.219158318,-1.381620793
B cell,Naive B,-2.115418051,-12.97591045
Mono/DC,CD14 Mono,-9.236232136,4.162818642
T cell,CD4 Memory,7.546715882,2.658568116
T cell,CD8 Naive,3.870931294,5.930867406
T cell,CD4 Memory,5.791896965,3.485336753
T cell,MAIT,7.417274143,-2.484937457
T cell,CD4 Naive,4.981668617,3.503688784
Mono/DC,CD14 Mono,-7.989921901,4.63898346
B cell,Naive B,-1.696051452,-12.71522644
Mono/DC,cDC2,-12.4118217,2.9683809
B cell,Naive B,-1.203783248,-13.17970779
NK,NK,7.669606354,-6.729228286
Mono/DC,CD14 Mono,-9.738944385,5.666243287
Mono/DC,CD14 Mono,-8.059233997,4.188549252
Progenitor cells,Prog_DC,-11.70901236,1.318866583
Mono/DC,cDC2,-9.325697277,1.56169829
Progenitor cells,GMP,-8.37206969,-0.2040022
T cell,CD4 Naive,5.728742268,4.363221379
Progenitor cells,LMPP,-6.767477844,-5.346122054
Mono/DC,CD14 Mono,-7.125212524,3.246372433
Progenitor cells,Prog_RBC,-2.208549354,-1.703516392
T cell,CD8 Naive,2.310971167,2.228780003
Progenitor cells,GMP,-7.982298229,-2.227522163
T cell,CD4 Memory,4.549966957,0.910300465
T cell,CD4 Naive,2.940706398,1.624503704
T cell,CD8 Memory_1,2.585080054,1.188986631
T cell,CD8 Effector_1,5.684999611,-3.831278829
Mono/DC,CD14 Mono,-9.357155178,5.135997983
Mono/DC,CD14 Mono,-8.126724575,2.089798899
T cell,CD4 Memory,4.435760643,0.79258314
Progenitor cells,GMP,-7.965786312,-1.358377246
Mono/DC,CD14 Mono,-7.859187458,3.835088702
Mono/DC,CD14 Mono,-7.596360061,3.189264746
T cell,CD8 Naive,4.988730099,6.131766053
B cell,Plasmablast,-3.437169884,-6.134414462
T cell,CD4 Naive,3.562796976,2.672507497
B cell,Memory B,1.962896015,-11.5672057
Progenitor cells,Prog_RBC,-2.983939502,-1.444265155
T cell,CD8 Effector_1,5.264928009,-2.852307586
Progenitor cells,GMP,-7.488005016,-2.329373626
Mono/DC,CD14 Mono,-9.666332577,5.931752415
T cell,CD4 Naive,3.093665507,1.954332562
T cell,CD4 Naive,4.569552567,4.439686509
B cell,Memory B,0.485331904,-11.57112053
B cell,Naive B,-1.560614441,-13.12494018
Progenitor cells,LMPP,-5.052052353,-5.386861591
T cell,CD4 Naive,4.543008949,2.22175643
T cell,MAIT,6.666083004,-2.055933026
B cell,Memory B,1.092389788,-11.08091381
T cell,CD4 Naive,3.306464817,2.808351727
T cell,CD8 Effector_1,5.493617203,-3.441471128
B cell,Memory B,0.506858375,-11.86933353
T cell,CD4 Naive,4.963070061,4.821156236
Progenitor cells,LMPP,-6.843170021,-5.624183921
Mono/DC,CD14 Mono,-9.572057102,6.761231633
T cell,CD8 Memory_1,7.558445122,-1.4652988
T cell,CD8 Naive,3.159287121,6.410126897
T cell,CD4 Memory,5.034720089,0.868801685
T cell,CD4 Memory,7.003416207,1.897027465
NK,NK,7.585628655,-6.847869186
T cell,CD8 Naive,2.388939049,2.159554692
Mono/DC,CD14 Mono,-6.747720096,2.832571955
Mono/DC,CD14 Mono,-9.420609806,5.890159341
Progenitor cells,Prog_RBC,-4.506999824,-4.098830489
T cell,CD4 Naive,4.834502365,3.523173781
T cell,CD8 Naive,4.01865473,5.807049962
B cell,Naive B,-1.214700673,-11.94803837
B cell,Naive B,-1.669653867,-11.84491089
Progenitor cells,GMP,-7.67559037,-3.452701358
Mono/DC,CD14 Mono,-9.846155498,6.0660145
B cell,Naive B,-0.449183378,-12.84386661
T cell,MAIT,7.647674706,-2.399243383
Mono/DC,CD14 Mono,-6.626414631,3.886544438
Progenitor cells,HSC,-6.515287254,-6.163664607
B cell,Memory B,1.129757728,-11.74631622
B cell,Memory B,-0.23726574,-10.54569843
T cell,CD4 Memory,6.904796746,3.444911452
T cell,CD4 Naive,5.107074883,4.00984213
Mono/DC,CD14 Mono,-8.572670315,5.290132256
T cell,CD4 Memory,4.318860199,0.563443394
B cell,Memory B,-0.198244397,-11.23926857
T cell,CD8 Naive,3.406201746,6.434856149
Mono/DC,CD14 Mono,-8.973714206,1.873837443
T cell,CD4 Naive,6.269158032,4.913904877
T cell,Treg,5.410292294,4.866836282
Mono/DC,CD14 Mono,-8.801534031,4.998036595
B cell,Naive B,-0.653832827,-12.00642708
T cell,CD4 Naive,5.280223038,4.696512433
Progenitor cells,GMP,-8.551265095,-0.163442371
T cell,CD8 Naive,3.874037411,4.699186059
T cell,CD4 Memory,7.271517899,1.083773824
B cell,Memory B,-0.350232873,-10.29573276
Progenitor cells,HSC,-4.441571567,-5.730341224
Mono/DC,CD14 Mono,-9.510021541,2.541447135
B cell,Memory B,0.824612047,-11.30389908
B cell,Memory B,1.863817479,-11.48328903
B cell,Memory B,0.428338509,-11.22556999
T cell,CD4 Naive,4.864647057,3.32600853
T cell,CD8 Memory_2,6.081063893,-5.454527644
T cell,CD4 Memory,6.522553589,0.952857586
NK,CD56 bright NK,8.777326252,-4.57815483
Progenitor cells,Prog_RBC,-3.982663963,-3.847110776
Mono/DC,cDC2,-11.90541968,2.833637687
Progenitor cells,GMP,-7.687197063,-3.387249498
T cell,Treg,6.457330372,3.602083894
T cell,CD4 Naive,5.966080334,3.681124659
T cell,CD8 Naive,4.134998705,4.447081776
T cell,CD4 Naive,4.50295892,6.089821072
T cell,CD8 Naive,3.557606127,5.88140461
Mono/DC,CD14 Mono,-8.71967921,5.729474755
T cell,CD4 Memory,5.302825119,2.896972867
Mono/DC,CD16 Mono,-7.750996921,8.438483926
T cell,MAIT,7.028248455,-2.486812143
T cell,CD4 Naive,4.287734177,4.177819939
Mono/DC,CD14 Mono,-10.27800879,5.555399628
T cell,CD8 Memory_1,5.480364468,-0.610541908
T cell,CD4 Naive,3.538149979,2.527498456
Mono/DC,CD14 Mono,-9.541577671,5.19832346
B cell,Naive B,0.221905693,-12.26600864
NK,NK,8.527042057,-5.308580665
Progenitor cells,Prog_RBC,-5.136707638,-3.89654973
T cell,CD4 Naive,4.856154587,2.946658822
T cell,CD4 Memory,6.813904431,0.417751672
T cell,CD4 Naive,2.767527487,1.557810994
T cell,CD4 Naive,2.732404854,2.24366376
T cell,CD4 Memory,7.927377369,0.310456889
T cell,CD4 Naive,2.621203568,1.569488259
Progenitor cells,GMP,-7.69760022,0.022923803
T cell,CD4 Naive,4.371477749,4.448733064
B cell,Memory B,1.35906234,-11.41397407
T cell,Treg,4.689278748,0.845546873
B cell,Memory B,1.934468653,-11.74023273
T cell,MAIT,7.254826691,-1.934335498
T cell,CD4 Memory,8.068901207,1.309879514
Progenitor cells,Prog_B 2,-6.907378052,-6.174364833
T cell,CD8 Effector_2,4.871554043,-3.364848403
T cell,CD8 Memory_2,7.213787701,0.643967601
Mono/DC,cDC2,-7.522971485,5.038717957
Mono/DC,CD14 Mono,-10.2322639,5.78749487
B cell,Memory B,0.088181551,-11.0602763
T cell,Treg,4.038612272,4.056705209
Mono/DC,CD14 Mono,-6.784991119,3.488259526
T cell,CD4 Naive,3.494804766,2.698846074
T cell,gdT,6.796513703,-3.381466655
T cell,CD8 Naive,3.560430195,4.889356347
T cell,CD4 Memory,7.42044368,2.115059586
B cell,Memory B,-0.278225515,-10.28459671
Mono/DC,CD14 Mono,-7.483306263,4.723005505
Mono/DC,CD14 Mono,-7.971182201,3.360741826
T cell,MAIT,7.251136448,-2.087656049
Progenitor cells,LMPP,-7.143708561,-4.729225902
B cell,Memory B,1.224252548,-11.31617191
T cell,CD8 Naive,4.962813999,6.325426312
T cell,CD4 Naive,3.113128092,1.169461222
T cell,CD4 Memory,4.323586132,1.856482001
T cell,gdT,5.995055821,-4.728842048
T cell,CD4 Naive,3.813864376,3.411344977
T cell,CD4 Memory,4.393758442,1.54130921
T cell,CD8 Naive,3.531828072,6.695687028
B cell,Naive B,-2.060393427,-12.05885437
T cell,CD4 Naive,3.099721577,2.393517705
T cell,CD8 Effector_2,5.322993424,-3.103848247
B cell,Naive B,-1.938950393,-12.05729511
T cell,CD4 Memory,4.834765103,0.901396008
T cell,CD8 Naive,3.624151137,5.595861646
T cell,CD8 Naive,2.894486096,5.509441586
T cell,CD8 Naive,3.588487532,5.999037953
Progenitor cells,Prog_B 2,-5.951432083,-7.849129943
NK,CD56 bright NK,8.608878758,-4.489286212
Progenitor cells,GMP,-7.627077911,-3.461175708
T cell,CD4 Memory,5.019536164,0.89420596
T cell,CD4 Naive,3.799347069,6.462548943
T cell,CD4 Naive,2.317900564,1.536416622
Progenitor cells,Prog_RBC,-4.778786514,-4.16964939
Mono/DC,CD14 Mono,-7.735577915,4.245074483
T cell,CD4 Naive,4.036130097,0.912885042
Mono/DC,CD14 Mono,-9.839156482,3.232626172
NK,NK,7.96107259,-6.466899661
T cell,MAIT,6.887305882,-1.763178734
Mono/DC,CD14 Mono,-9.614981983,5.554045888
Mono/DC,CD14 Mono,-8.278361652,2.126384707
Mono/DC,CD14 Mono,-7.364361618,3.915928336
T cell,CD8 Naive,2.750802424,5.037474366
Progenitor cells,HSC,-6.396041725,-6.070732383
Progenitor cells,Prog_Mk,-6.248383377,-5.178575782
Progenitor cells,Prog_RBC,-2.758375976,-3.683502702
NK,NK,8.427347805,-6.294203548
T cell,CD8 Naive,3.376945641,3.745528432
T cell,CD8 Memory_1,6.434634831,-1.407257823
T cell,CD8 Naive,3.307340052,4.693372937
T cell,CD4 Naive,2.335763361,1.435852381
T cell,gdT,5.677863743,-1.54591289
Mono/DC,CD14 Mono,-10.02151999,4.82705185
Progenitor cells,Prog_B 1,-5.142379616,-8.355257301
Mono/DC,CD14 Mono,-9.352275226,2.590921374
Mono/DC,pDC,-9.876639698,-6.397815971
T cell,CD4 Memory,6.709875252,1.738131138
T cell,CD4 Memory,6.796342518,2.228980275
T cell,CD4 Naive,3.479283001,4.651164265
T cell,CD4 Naive,2.775119688,1.256515594
T cell,CD8 Naive,3.155595686,5.948517056
Progenitor cells,Prog_RBC,-3.142301891,-3.813468961
T cell,CD4 Naive,3.200998928,4.508766862
B cell,Memory B,-0.410185013,-11.00261715
T cell,CD4 Memory,6.984860565,2.237977477
T cell,CD4 Memory,8.283027317,0.779619785
Mono/DC,CD14 Mono,-8.696776722,1.067285748
T cell,CD4 Memory,6.906627323,2.530626031
Progenitor cells,Prog_RBC,-5.861626003,-4.400357036
NK,CD56 bright NK,8.783807423,-4.551759509
Mono/DC,CD14 Mono,-10.38100467,5.169213982
Mono/DC,cDC2,-7.658087108,4.337366792
T cell,CD4 Naive,3.621927883,2.567907067
Mono/DC,CD14 Mono,-9.846145008,4.420162412
T cell,CD8 Naive,4.918312218,6.487018319
B cell,Memory B,1.677391436,-11.47196892
T cell,CD4 Memory,4.79754081,1.96088359
B cell,Naive B,0.214162595,-11.98270157
T cell,CD4 Memory,7.047999527,0.412561359
Mono/DC,CD14 Mono,-8.371404026,3.297924252
T cell,CD8 Memory_1,5.921415951,-0.608321516
T cell,CD4 Memory,8.041073944,1.343087169
T cell,CD8 Naive,2.470430758,2.882580491
Mono/DC,CD14 Mono,-6.566431377,3.663872929
T cell,CD4 Memory,5.508242752,3.817131491
T cell,CD4 Naive,5.584974911,3.588245841
T cell,CD8 Naive,4.63627496,7.054176064
NK,NK,7.722392227,-5.967237739
T cell,CD8 Naive,2.772438194,6.194884034
T cell,CD8 Naive,4.155826475,5.898921223
Mono/DC,CD14 Mono,-7.683414314,0.535861941
T cell,CD4 Memory,6.654145863,0.947342368
T cell,CD8 Effector_1,6.151322033,-4.340682296
T cell,CD4 Memory,4.494259503,0.877936455
T cell,CD4 Naive,3.84597316,2.418136569
B cell,Naive B,-1.712148521,-12.69705513
T cell,CD4 Memory,7.483509209,0.664479109
Mono/DC,CD14 Mono,-7.662736271,1.546450587
T cell,CD4 Naive,2.046762373,1.809216591
T cell,CD4 Memory,7.09248748,0.642921122
Mono/DC,CD14 Mono,-7.773101185,5.546495171
Mono/DC,pDC,-9.675626133,-6.980782775
Mono/DC,CD16 Mono,-7.7037724,8.372021409
T cell,CD8 Naive,4.576337483,5.878440114
T cell,CD4 Memory,5.152497914,1.357472034
Mono/DC,CD14 Mono,-9.419081066,5.246562215
T cell,CD4 Naive,2.837975409,2.042978855
Mono/DC,CD14 Mono,-8.750292156,5.278793546
Progenitor cells,LMPP,-8.290198658,-2.430296687
T cell,CD8 Naive,3.54188719,7.030585976
Mono/DC,CD14 Mono,-6.631617878,3.003691884
Mono/DC,CD14 Mono,-9.681606624,3.869507523
Mono/DC,CD14 Mono,-6.694537494,1.459370585
Mono/DC,cDC2,-11.13348994,3.540819379
T cell,CD8 Naive,4.449005272,6.104229184
Mono/DC,CD14 Mono,-9.965394352,4.206876965
Progenitor cells,GMP,-7.713013981,-0.161717055
T cell,CD8 Naive,3.224559452,6.369786473
T cell,CD4 Memory,7.742207196,1.340520831
T cell,Treg,6.486458924,1.579303594
T cell,CD4 Naive,2.640528109,2.379859896
NK,NK,-8.005983684,-1.903794078
Mono/DC,CD14 Mono,-7.423348282,2.243366452
Mono/DC,CD14 Mono,-8.875273083,2.927450867
T cell,CD4 Memory,7.446478512,1.235535236
T cell,CD4 Naive,5.59457412,4.339490147
T cell,CD8 Naive,4.427401211,6.945348473
T cell,CD8 Memory_2,5.476020481,-2.667962341
T cell,gdT,7.333652165,-2.617084293
Progenitor cells,Prog_B 1,-6.274437759,-6.85712841
Mono/DC,CD14 Mono,-8.216581676,1.367201062
Mono/DC,CD14 Mono,-9.640904758,6.669542523
Mono/DC,CD14 Mono,-8.679110859,4.330657216
Progenitor cells,GMP,-8.088380192,-0.576002089
NK,NK,8.140404846,-6.68001583
T cell,CD8 Naive,3.278274681,5.842940541
T cell,CD4 Memory,6.602779534,1.811416717
T cell,CD4 Memory,6.936624672,3.1177561
T cell,CD8 Memory_1,4.971051361,2.152542325
T cell,CD4 Naive,2.563404944,2.378536912
B cell,Naive B,-2.044872377,-13.05622127
Mono/DC,CD14 Mono,-10.03624759,4.086316796
T cell,CD8 Naive,5.783702519,5.769124242
Mono/DC,CD14 Mono,-9.496494625,3.34930894
T cell,CD4 Memory,4.300838139,0.988475176
NK,NK,7.684394028,-6.6774061
T cell,CD8 Naive,3.354379799,4.349757882
Mono/DC,CD14 Mono,-9.472308491,4.698657723
T cell,CD8 Memory_2,5.744748738,-5.155895976
Progenitor cells,Prog_B 2,-5.652952526,-8.152416496
T cell,CD4 Naive,2.283209946,2.682433816
T cell,CD8 Naive,2.624599602,6.029662343
T cell,CD8 Naive,1.656594779,2.368277283
T cell,CD4 Memory,8.423542645,1.386476966
T cell,CD8 Naive,3.220715191,6.997163029
T cell,CD8 Naive,2.954852249,6.471287938
T cell,CD8 Effector_2,4.725354817,-3.213478355
T cell,CD4 Memory,6.181445744,2.463364096
T cell,CD8 Memory_1,5.903126385,0.85799882
NK,NK,8.327650692,-6.154228477
B cell,Memory B,0.66707569,-11.3303397
Mono/DC,CD14 Mono,-6.474434707,2.836953135
T cell,CD8 Memory_2,5.841766026,-3.554493932
T cell,CD8 Naive,3.888935234,6.972177716
T cell,CD4 Naive,6.000305321,5.029990407
T cell,CD4 Memory,6.95114341,3.546436044
T cell,CD4 Memory,5.098615315,1.050985606
T cell,CD4 Memory,8.274999287,1.105266901
T cell,CD4 Memory,5.20324054,0.141714672
B cell,Naive B,-1.4320837,-12.62870911
T cell,CD4 Memory,4.940255787,2.818908902
T cell,CD4 Naive,3.860312607,2.757846089
B cell,Naive B,-1.405237291,-11.09753921
T cell,CD4 Naive,3.299900439,3.460955115
B cell,Memory B,0.431814339,-12.23090675
Mono/DC,CD14 Mono,-9.055827472,1.287524434
T cell,CD8 Naive,3.19179621,5.843456479
T cell,CD8 Naive,2.263245609,3.648749562
T cell,CD4 Naive,4.539919998,1.119254561
T cell,CD8 Naive,3.342950012,5.760187836
Mono/DC,CD16 Mono,-8.126962993,8.393108102
Mono/DC,CD14 Mono,-8.40293536,5.379181119
Mono/DC,cDC2,-12.40386519,3.004617186
T cell,Treg,5.245029595,2.30035493
NK,NK,7.938666012,-6.03754404
Mono/DC,CD14 Mono,-6.768159244,4.665939542
T cell,CD4 Naive,3.93419924,3.806402655
T cell,CD8 Memory_2,5.575024273,-2.921025066
Mono/DC,pDC,-10.25938163,-6.395170955
B cell,Naive B,-1.163776372,-12.19121578
Mono/DC,CD14 Mono,-9.27046046,2.815160247
T cell,CD4 Memory,5.565551903,1.386714907
Mono/DC,CD14 Mono,-8.099678371,6.634901257
T cell,CD4 Naive,4.930590775,3.698317738
T cell,MAIT,5.124694493,-3.387116937
B cell,Naive B,-1.895524833,-12.46254089
Mono/DC,CD14 Mono,-9.160674427,2.114689322
T cell,CD4 Naive,5.364639904,3.589844199
T cell,CD4 Memory,7.251866009,2.307517739
T cell,CD4 Naive,4.897483971,4.762914391
T cell,MAIT,7.254283097,-3.323538331
T cell,CD4 Naive,3.894146349,3.775279971
B cell,Naive B,-2.389170025,-11.90918377
T cell,CD4 Memory,4.532824661,4.867655965
T cell,MAIT,7.307566788,-1.901029734
Mono/DC,CD14 Mono,-9.173182819,2.357812615
NK,NK,7.459958698,-6.356864242
T cell,CD8 Memory_2,5.823295262,-5.197197227
T cell,CD4 Naive,2.023960378,1.750718685
Progenitor cells,LMPP,-6.601626728,-6.460065631
T cell,CD8 Naive,2.118639376,3.08751175
B cell,Memory B,0.239327125,-11.46416023
T cell,CD4 Naive,2.559193279,2.693325253
B cell,Naive B,-1.414495204,-13.03532722
Mono/DC,CD14 Mono,-6.930107925,2.083360167
Mono/DC,cDC2,-11.32742629,2.428187581
Progenitor cells,HSC,-6.275383327,-5.721215038
T cell,CD4 Memory,4.972291138,1.285786482
T cell,CD4 Memory,7.961941387,1.997825952
Mono/DC,CD14 Mono,-7.0820168,3.965682479
T cell,gdT,7.2937099,-2.884024648
Mono/DC,CD14 Mono,-9.63692889,5.246204587
Mono/DC,CD14 Mono,-10.17595038,4.933621617
B cell,Memory B,1.511326816,-11.0152972
T cell,CD8 Naive,1.774735954,2.713940593
T cell,CD8 Naive,4.283731129,6.25452921
B cell,Memory B,0.46590225,-11.99982956
NK,CD56 bright NK,8.827406552,-5.27620819
T cell,CD8 Naive,1.84189048,2.687151881
NK,CD56 bright NK,8.356292393,-5.67823389
T cell,CD4 Naive,6.238831188,2.445041867
NK,NK,8.531863835,-6.03153017
T cell,CD8 Naive,3.056305077,5.084361287
NK,NK,8.557548191,-6.247850208
Mono/DC,CD14 Mono,-8.403418873,2.159478398
T cell,CD8 Memory_1,6.483407643,-2.621610669
T cell,CD4 Naive,5.220580246,4.060876342
Mono/DC,CD14 Mono,-9.833838794,2.608090611
B cell,Naive B,-1.890886877,-12.97192314
Mono/DC,CD14 Mono,-8.555363987,2.573803397
T cell,CD4 Memory,7.248358395,1.360499593
T cell,CD8 Naive,5.099539902,5.406198235
T cell,CD4 Memory,4.757311012,0.825381668
Mono/DC,CD14 Mono,-9.44137511,7.034761163
Mono/DC,CD14 Mono,-6.463759277,3.319149705
Mono/DC,CD14 Mono,-7.649616573,2.493198605
B cell,Naive B,-1.798692796,-12.58296612
Progenitor cells,Prog_RBC,-2.622161005,-1.384259729
B cell,Naive B,-1.318825457,-12.05194977
T cell,CD4 Memory,6.245442059,-2.759242086
T cell,CD4 Naive,3.054031994,2.745064231
Mono/DC,CD14 Mono,-7.589567039,1.647757264
Progenitor cells,Prog_RBC,-2.054502104,-2.109372644
Mono/DC,CD16 Mono,-7.965781544,8.100887986
T cell,CD4 Naive,2.17381027,2.087995978
T cell,CD4 Memory,7.068137791,0.130324507
Progenitor cells,Prog_RBC,-3.75701699,-3.794256238
T cell,CD8 Naive,1.998632934,3.082613917
T cell,CD8 Naive,3.554842856,6.794092866
B cell,Memory B,1.195364322,-11.81225326
Mono/DC,CD14 Mono,-9.712199543,2.186989756
B cell,Memory B,0.409171607,-10.56921509
Progenitor cells,GMP,-7.506192539,-0.874045281
B cell,Naive B,-0.594056163,-12.82081631
B cell,Memory B,-0.784962986,-10.39341572
B cell,Memory B,1.533184793,-11.66630485
Mono/DC,CD14 Mono,-9.830113743,4.234147759
T cell,CD4 Naive,4.28841367,2.746034833
T cell,CD8 Naive,5.123730328,5.560438367
Mono/DC,CD14 Mono,-6.728360031,3.737037392
T cell,CD4 Memory,8.149182942,1.264876219
Mono/DC,CD14 Mono,-6.704161976,2.460736724
NK,NK,8.092452671,-6.851005344
Mono/DC,cDC2,-11.62293658,3.671048137
T cell,CD4 Naive,5.068527367,5.363068791
T cell,CD4 Naive,6.841066506,3.439776154
T cell,CD8 Effector_1,6.322585251,-4.981702117
Mono/DC,cDC2,-12.00964103,2.616079064
Mono/DC,CD14 Mono,-7.910895679,4.100510331
T cell,CD4 Memory,8.400431301,1.680621477
T cell,CD4 Memory,3.129000094,1.356983753
Progenitor cells,Prog_RBC,-2.394790504,-3.354141263
Mono/DC,CD14 Mono,-9.502653454,5.534258099
T cell,CD4 Naive,4.477952149,4.843523713
Mono/DC,CD14 Mono,-8.815237377,3.013337107
T cell,CD8 Naive,2.063251879,2.592552157
T cell,CD8 Naive,3.151245739,6.333290311
T cell,CD4 Naive,6.068901207,5.155840607
Mono/DC,CD14 Mono,-9.033477161,5.141284676
B cell,Naive B,-2.155675266,-12.75782326
T cell,Treg,7.839946892,1.615656229
T cell,CD8 Naive,4.255417492,7.064514371
T cell,CD4 Naive,6.338112499,5.168153497
Progenitor cells,GMP,-8.065224979,-3.035625009
T cell,CD4 Naive,5.145325329,4.69719431
Mono/DC,CD14 Mono,-9.57118449,2.749428483
Mono/DC,CD14 Mono,-9.891270969,4.819486352
T cell,CD4 Naive,4.708949234,4.710882874
T cell,CD4 Memory,8.400981571,0.807482394
B cell,Memory B,-0.089486811,-11.91254929
Mono/DC,CD14 Mono,-7.461895798,2.69372222
T cell,CD4 Memory,7.473363068,1.989294263
Mono/DC,CD14 Mono,-9.488788936,3.780822249
T cell,gdT,7.201837685,-2.713952808
T cell,CD4 Memory,4.568045761,1.270212026
Progenitor cells,GMP,-7.614179943,-0.593556492
T cell,gdT,7.519453194,-6.225924281
B cell,Memory B,0.413211938,-10.65776279
T cell,CD8 Naive,3.873114016,6.579315873
Mono/DC,CD14 Mono,-7.886913631,1.408669563
T cell,gdT,7.503385689,-3.408265142
NK,NK,8.404816296,-5.995409278
T cell,CD8 Naive,3.473299887,6.331565114
T cell,CD8 Memory_1,5.870882656,-3.781029967
B cell,Naive B,-1.719051931,-12.30772713
Mono/DC,CD14 Mono,-8.919438694,3.25846407
Mono/DC,CD16 Mono,-8.60863528,8.37052414
NK,NK,8.382360127,-6.012263564
B cell,Naive B,-0.991625045,-12.07659176
T cell,CD4 Memory,7.429250862,2.228899451
T cell,CD4 Memory,7.560517456,0.776035639
Mono/DC,CD14 Mono,-9.638099048,4.462146493
NK,NK,-10.20409236,3.190994473
T cell,CD8 Naive,4.019483473,3.566391202
T cell,CD8 Memory_2,5.964721348,-5.630360393
T cell,CD4 Memory,7.0168139,2.151683064
Mono/DC,CD14 Mono,-7.845071171,3.974492045
Mono/DC,CD14 Mono,-8.689072941,1.812832208
Mono/DC,CD14 Mono,-10.9330028,3.427999707
Mono/DC,CD14 Mono,-7.349482391,3.980829211
NK,NK,-11.19007144,1.812044116
Progenitor cells,Prog_RBC,-6.032996032,-4.490182666
NK,NK,8.12205949,-5.990481643
T cell,CD4 Memory,7.362952854,-0.021470783
T cell,CD8 Naive,4.222275164,6.371001454
Mono/DC,CD14 Mono,-8.514582966,1.858054729
Mono/DC,CD14 Mono,-9.538648937,5.836565705
B cell,Memory B,1.540008571,-11.08650139
T cell,CD4 Naive,4.814795162,4.130622598
T cell,CD4 Memory,7.313927319,1.604080172
T cell,CD4 Naive,6.050918247,5.51043913
Mono/DC,CD14 Mono,-8.585453365,4.711143704
